Song,Artist,Week,Rank
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-08-11,25
 Back To You,Selena Gomez,2018-08-11,26
 God Is A Woman,Ariana Grande,2018-08-11,27
 Tequila,Dan + Shay,2018-08-11,28
 Nonstop,Drake,2018-08-11,29
 One Kiss,"Calvin Harris, & Dua Lipa",2018-08-11,30
 In My Blood,Shawn Mendes,2018-08-11,31
 Mercy,Brett Young,2018-08-11,32
 I Like Me Better,Lauv,2018-08-11,33
 Simple,Florida Georgia Line,2018-08-11,34
 Apes**t,The Carters,2018-08-11,35
 Never Be The Same,Camila Cabello,2018-08-11,36
 Whatever It Takes,Imagine Dragons,2018-08-11,37
 Moonlight,XXXTentacion,2018-08-11,38
 Drowns The Whiskey,"Jason Aldean, ft. Miranda Lambert",2018-08-11,39
 Look Alive,"BlocBoy JB, ft. Drake",2018-08-11,40
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-08-11,41
 Natural,Imagine Dragons,2018-08-11,42
 Be Careful,Cardi B,2018-08-11,43
 Eastside,"Benny Blanco, Halsey & Khalid",2018-08-11,44
 I'm Upset,Drake,2018-08-11,45
 Life Changes,Thomas Rhett,2018-08-11,46
 Sober,Demi Lovato,2018-08-11,47
 Sit Next To Me,Foster The People,2018-08-11,48
 One Number Away,Luke Combs,2018-08-11,49
" Sunrise, Sunburn, Sunset",Luke Bryan,2018-08-11,50
 In My Feelings,Drake,2018-08-18,1
 Girls Like You,"Maroon 5, ft. Cardi B",2018-08-18,2
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-08-18,3
 Sicko Mode,Travis Scott,2018-08-18,4
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-08-18,5
 Better Now,Post Malone,2018-08-18,6
 Lucid Dreams,Juice WRLD,2018-08-18,7
 Stargazing,Travis Scott,2018-08-18,8
 Taste,"Tyga, feat. Offset",2018-08-18,9
 Boo'd Up,Ella Mai,2018-08-18,10
 No Brainer,"DJ Khaled, ft. Justin Bieber, Chance The Rapper & Quavo",2018-08-18,11
 Nice For What,Drake,2018-08-18,12
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-08-18,13
 No Tears Left To Cry,Ariana Grande,2018-08-18,14
 Love Lies,"Khalid, & Normani",2018-08-18,15
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-08-18,16
 Delicate,Taylor Swift,2018-08-18,17
 Yes Indeed,"Lil Baby, & Drake",2018-08-18,18
The Middle,"Zedd, Maren Morris & Grey",2018-08-18,19
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-08-18,20
 Perfect,Ed Sheeran,2018-08-18,21
 Youngblood,5 Seconds Of Summer,2018-08-18,22
 God's Plan,Drake,2018-08-18,23
 Carousel,Travis Scott,2018-08-18,24
 Yosemite,Travis Scott,2018-08-18,25
 R.I.P. Screw,Travis Scott,2018-08-18,26
 Stop Trying To Be God,Travis Scott,2018-08-18,27
 Sad!,XXXTentacion,2018-08-18,28
 Nonstop,Drake,2018-08-18,29
 Wake Up,Travis Scott,2018-08-18,30
 No Bystanders,Travis Scott,2018-08-18,31
 Friends,"Marshmello, & Anne-Marie",2018-08-18,32
 Back To You,Selena Gomez,2018-08-18,33
 Mercy,Brett Young,2018-08-18,34
 Mine,Bazzi,2018-08-18,35
 5% Tint,Travis Scott,2018-08-18,36
 Tequila,Dan + Shay,2018-08-18,37
 Can't Say,Travis Scott,2018-08-18,38
 God Is A Woman,Ariana Grande,2018-08-18,39
 One Kiss,"Calvin Harris, & Dua Lipa",2018-08-18,40
 NC-17,Travis Scott,2018-08-18,41
 In My Blood,Shawn Mendes,2018-08-18,42
 Who? What!,Travis Scott,2018-08-18,43
 Get Along,Kenny Chesney,2018-08-18,44
 Simple,Florida Georgia Line,2018-08-18,45
 Never Be The Same,Camila Cabello,2018-08-18,46
 Skeletons,Travis Scott,2018-08-18,47
 Astrothunder,Travis Scott,2018-08-18,48
 I Like Me Better,Lauv,2018-08-18,49
 Butterfly Effect,Travis Scott,2018-08-18,50
 In My Feelings,Drake,2018-08-25,1
 Girls Like You,"Maroon 5, ft. Cardi B",2018-08-25,2
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-08-25,3
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-08-25,4
 Better Now,Post Malone,2018-08-25,5
 Lucid Dreams,Juice WRLD,2018-08-25,6
 Sicko Mode,Travis Scott,2018-08-25,7
 Taste,"Tyga, feat. Offset",2018-08-25,8
 Boo'd Up,Ella Mai,2018-08-25,9
 No Brainer,"DJ Khaled, ft. Justin Bieber, Chance The Rapper & Quavo",2018-08-25,10
 Love Lies,"Khalid, & Normani",2018-08-25,11
 No Tears Left To Cry,Ariana Grande,2018-08-25,12
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-08-25,13
 Nice For What,Drake,2018-08-25,14
 Yes Indeed,"Lil Baby, & Drake",2018-08-25,15
 Delicate,Taylor Swift,2018-08-25,16
 Youngblood,5 Seconds Of Summer,2018-08-25,17
 Barbie Dreams,Nicki Minaj,2018-08-25,18
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-08-25,19
 Perfect,Ed Sheeran,2018-08-25,20
 Nonstop,Drake,2018-08-25,21
The Middle,"Zedd, Maren Morris & Grey",2018-08-25,22
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-08-25,23
 God's Plan,Drake,2018-08-25,24
 Back To You,Selena Gomez,2018-08-25,25
 Sad!,XXXTentacion,2018-08-25,26
 Stargazing,Travis Scott,2018-08-25,27
 Tequila,Dan + Shay,2018-08-25,28
 Mercy,Brett Young,2018-08-25,29
 God Is A Woman,Ariana Grande,2018-08-25,30
 Mine,Bazzi,2018-08-25,31
 One Kiss,"Calvin Harris, & Dua Lipa",2018-08-25,32
 Friends,"Marshmello, & Anne-Marie",2018-08-25,33
 Natural,Imagine Dragons,2018-08-25,34
 Simple,Florida Georgia Line,2018-08-25,35
 Drowns The Whiskey,"Jason Aldean, ft. Miranda Lambert",2018-08-25,36
 Never Be The Same,Camila Cabello,2018-08-25,37
 In My Blood,Shawn Mendes,2018-08-25,38
 I Like Me Better,Lauv,2018-08-25,39
 Get Along,Kenny Chesney,2018-08-25,40
 Apes**t,The Carters,2018-08-25,41
 Bed,"Nicki Minaj, ft. Ariana Grande",2018-08-25,42
 Yosemite,Travis Scott,2018-08-25,43
 Chun-Li,Nicki Minaj,2018-08-25,44
 Life Changes,Thomas Rhett,2018-08-25,45
 Taking A Walk,Trippie Redd,2018-08-25,46
" Sunrise, Sunburn, Sunset",Luke Bryan,2018-08-25,47
 Eastside,"Benny Blanco, Halsey & Khalid",2018-08-25,48
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-08-25,49
 Moonlight,XXXTentacion,2018-08-25,50
 In My Feelings,Drake,2018-09-01,1
 Girls Like You,"Maroon 5, ft. Cardi B",2018-09-01,2
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-09-01,3
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-09-01,4
 Better Now,Post Malone,2018-09-01,5
 Lucid Dreams,Juice WRLD,2018-09-01,6
 No Tears Left To Cry,Ariana Grande,2018-09-01,7
 God Is A Woman,Ariana Grande,2018-09-01,8
 Sicko Mode,Travis Scott,2018-09-01,9
 Taste,"Tyga, feat. Offset",2018-09-01,10
 Love Lies,"Khalid, & Normani",2018-09-01,11
 No Brainer,"DJ Khaled, ft. Justin Bieber, Chance The Rapper & Quavo",2018-09-01,12
 Boo'd Up,Ella Mai,2018-09-01,13
 Yes Indeed,"Lil Baby, & Drake",2018-09-01,14
 Youngblood,5 Seconds Of Summer,2018-09-01,15
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-09-01,16
 Nice For What,Drake,2018-09-01,17
 Nonstop,Drake,2018-09-01,18
 Delicate,Taylor Swift,2018-09-01,19
 Perfect,Ed Sheeran,2018-09-01,20
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-09-01,21
 Breathin,Ariana Grande,2018-09-01,22
 Back To You,Selena Gomez,2018-09-01,23
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-09-01,24
The Middle,"Zedd, Maren Morris & Grey",2018-09-01,25
 Sad!,XXXTentacion,2018-09-01,26
 God's Plan,Drake,2018-09-01,27
 I Like Me Better,Lauv,2018-09-01,28
 Natural,Imagine Dragons,2018-09-01,29
 Tequila,Dan + Shay,2018-09-01,30
 Eastside,"Benny Blanco, Halsey & Khalid",2018-09-01,31
 Drowns The Whiskey,"Jason Aldean, ft. Miranda Lambert",2018-09-01,32
 Mine,Bazzi,2018-09-01,33
 Mercy,Brett Young,2018-09-01,34
 Stargazing,Travis Scott,2018-09-01,35
 Simple,Florida Georgia Line,2018-09-01,36
 Friends,"Marshmello, & Anne-Marie",2018-09-01,37
 Barbie Dreams,Nicki Minaj,2018-09-01,38
 One Kiss,"Calvin Harris, & Dua Lipa",2018-09-01,39
" Sunrise, Sunburn, Sunset",Luke Bryan,2018-09-01,40
 Never Be The Same,Camila Cabello,2018-09-01,41
 In My Blood,Shawn Mendes,2018-09-01,42
 Life Changes,Thomas Rhett,2018-09-01,43
 Get Along,Kenny Chesney,2018-09-01,44
 I'm A Mess,Bebe Rexha,2018-09-01,45
 Apes**t,The Carters,2018-09-01,46
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-09-01,47
 Moonlight,XXXTentacion,2018-09-01,48
 Break Up In The End,Cole Swindell,2018-09-01,49
 Beautiful,"Bazzi, ft. Camila Cabello",2018-09-01,50
 In My Feelings,Drake,2018-09-08,1
 Girls Like You,"Maroon 5, ft. Cardi B",2018-09-08,2
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-09-08,3
 Better Now,Post Malone,2018-09-08,4
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-09-08,5
 Lucid Dreams,Juice WRLD,2018-09-08,6
 Sicko Mode,Travis Scott,2018-09-08,7
 Taste,"Tyga, feat. Offset",2018-09-08,8
 Love Lies,"Khalid, & Normani",2018-09-08,9
 God Is A Woman,Ariana Grande,2018-09-08,10
 Idol,"BTS, ft. Nicki Minaj",2018-09-08,11
 No Brainer,"DJ Khaled, ft. Justin Bieber, Chance The Rapper & Quavo",2018-09-08,12
 Boo'd Up,Ella Mai,2018-09-08,13
 No Tears Left To Cry,Ariana Grande,2018-09-08,14
 Youngblood,5 Seconds Of Summer,2018-09-08,15
 Yes Indeed,"Lil Baby, & Drake",2018-09-08,16
 Nonstop,Drake,2018-09-08,17
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-09-08,18
 Back To You,Selena Gomez,2018-09-08,19
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-09-08,20
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-09-08,21
 Perfect,Ed Sheeran,2018-09-08,22
 Nice For What,Drake,2018-09-08,23
 Natural,Imagine Dragons,2018-09-08,24
 Delicate,Taylor Swift,2018-09-08,25
The Middle,"Zedd, Maren Morris & Grey",2018-09-08,26
 I Like Me Better,Lauv,2018-09-08,27
 Eastside,"Benny Blanco, Halsey & Khalid",2018-09-08,28
 Sad!,XXXTentacion,2018-09-08,29
 God's Plan,Drake,2018-09-08,30
 Tequila,Dan + Shay,2018-09-08,31
 Simple,Florida Georgia Line,2018-09-08,32
 Mine,Bazzi,2018-09-08,33
 Drowns The Whiskey,"Jason Aldean, ft. Miranda Lambert",2018-09-08,34
" Sunrise, Sunburn, Sunset",Luke Bryan,2018-09-08,35
 Life Changes,Thomas Rhett,2018-09-08,36
 Breathin,Ariana Grande,2018-09-08,37
 Mercy,Brett Young,2018-09-08,38
 I'm A Mess,Bebe Rexha,2018-09-08,39
 Stargazing,Travis Scott,2018-09-08,40
 Friends,"Marshmello, & Anne-Marie",2018-09-08,41
 Never Be The Same,Camila Cabello,2018-09-08,42
 One Kiss,"Calvin Harris, & Dua Lipa",2018-09-08,43
 Beautiful,"Bazzi, ft. Camila Cabello",2018-09-08,44
 Barbie Dreams,Nicki Minaj,2018-09-08,45
 Drew Barrymore,Bryce Vine,2018-09-08,46
 Moonlight,XXXTentacion,2018-09-08,47
 Get Along,Kenny Chesney,2018-09-08,48
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-09-08,49
 Broken,lovelytheband,2018-09-08,50
 In My Feelings,Drake,2018-09-15,1
 Girls Like You,"Maroon 5, ft. Cardi B",2018-09-15,2
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-09-15,3
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-09-15,4
 Better Now,Post Malone,2018-09-15,5
 Lucky You,"Eminem, ft. Joyner Lucas",2018-09-15,6
 Lucid Dreams,Juice WRLD,2018-09-15,7
The Ringer,Eminem,2018-09-15,8
 Sicko Mode,Travis Scott,2018-09-15,9
 Taste,"Tyga, feat. Offset",2018-09-15,10
 Love Lies,"Khalid, & Normani",2018-09-15,11
 Fall,Eminem,2018-09-15,12
 Youngblood,5 Seconds Of Summer,2018-09-15,13
 Boo'd Up,Ella Mai,2018-09-15,14
 No Brainer,"DJ Khaled, ft. Justin Bieber, Chance The Rapper & Quavo",2018-09-15,15
 Kamikaze,Eminem,2018-09-15,16
 God Is A Woman,Ariana Grande,2018-09-15,17
 Nonstop,Drake,2018-09-15,18
 No Tears Left To Cry,Ariana Grande,2018-09-15,19
 Natural,Imagine Dragons,2018-09-15,20
 Yes Indeed,"Lil Baby, & Drake",2018-09-15,21
 Back To You,Selena Gomez,2018-09-15,22
 Greatest,Eminem,2018-09-15,23
 Not Alike,"Eminem, ft. Royce da 5'9",2018-09-15,24
 Perfect,Ed Sheeran,2018-09-15,25
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-09-15,26
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-09-15,27
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-09-15,28
 Delicate,Taylor Swift,2018-09-15,29
 Bebe,6ix9ine feat Anuel AA,2018-09-15,30
 Nice For What,Drake,2018-09-15,31
 Trip,Ella Mai,2018-09-15,32
 I Like Me Better,Lauv,2018-09-15,33
 Eastside,"Benny Blanco, Halsey & Khalid",2018-09-15,34
The Middle,"Zedd, Maren Morris & Grey",2018-09-15,35
 Sad!,XXXTentacion,2018-09-15,36
 God's Plan,Drake,2018-09-15,37
 Tequila,Dan + Shay,2018-09-15,38
 Normal,Eminem,2018-09-15,39
 Simple,Florida Georgia Line,2018-09-15,40
" Sunrise, Sunburn, Sunset",Luke Bryan,2018-09-15,41
 Stepping Stone,Eminem,2018-09-15,42
 Mine,Bazzi,2018-09-15,43
 I'm A Mess,Bebe Rexha,2018-09-15,44
 Drowns The Whiskey,"Jason Aldean, ft. Miranda Lambert",2018-09-15,45
 Happier,"Marshmello, & Bastille",2018-09-15,46
 Beautiful,"Bazzi, ft. Camila Cabello",2018-09-15,47
 Broken,lovelytheband,2018-09-15,48
 Venom,Eminem,2018-09-15,49
 Drew Barrymore,Bryce Vine,2018-09-15,50
 In My Feelings,Drake,2018-09-22,1
 Girls Like You,"Maroon 5, ft. Cardi B",2018-09-22,2
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-09-22,3
 Better Now,Post Malone,2018-09-22,4
 Lucid Dreams,Juice WRLD,2018-09-22,5
 I Love It,"Kanye West, & Lil Pump",2018-09-22,6
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-09-22,7
 Sicko Mode,Travis Scott,2018-09-22,8
 Taste,"Tyga, feat. Offset",2018-09-22,9
 Love Lies,"Khalid, & Normani",2018-09-22,10
 Youngblood,5 Seconds Of Summer,2018-09-22,11
 No Brainer,"DJ Khaled, ft. Justin Bieber, Chance The Rapper & Quavo",2018-09-22,12
 Rap Devil,Machine Gun Kelly,2018-09-22,13
 Boo'd Up,Ella Mai,2018-09-22,14
 Natural,Imagine Dragons,2018-09-22,15
 God Is A Woman,Ariana Grande,2018-09-22,16
 Nonstop,Drake,2018-09-22,17
 Lucky You,"Eminem, ft. Joyner Lucas",2018-09-22,18
 Back To You,Selena Gomez,2018-09-22,19
 Yes Indeed,"Lil Baby, & Drake",2018-09-22,20
 No Tears Left To Cry,Ariana Grande,2018-09-22,21
 Perfect,Ed Sheeran,2018-09-22,22
 Trip,Ella Mai,2018-09-22,23
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-09-22,24
 Delicate,Taylor Swift,2018-09-22,25
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-09-22,26
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-09-22,27
 Eastside,"Benny Blanco, Halsey & Khalid",2018-09-22,28
 Sad!,XXXTentacion,2018-09-22,29
 Nice For What,Drake,2018-09-22,30
The Middle,"Zedd, Maren Morris & Grey",2018-09-22,31
 I Like Me Better,Lauv,2018-09-22,32
 Self Care,Mac Miller,2018-09-22,33
 Fall,Eminem,2018-09-22,34
 Happier,"Marshmello, & Bastille",2018-09-22,35
 God's Plan,Drake,2018-09-22,36
 Tequila,Dan + Shay,2018-09-22,37
 Simple,Florida Georgia Line,2018-09-22,38
The Ringer,Eminem,2018-09-22,39
" Sunrise, Sunburn, Sunset",Luke Bryan,2018-09-22,40
 Broken,lovelytheband,2018-09-22,41
 Beautiful,"Bazzi, ft. Camila Cabello",2018-09-22,42
 I'm A Mess,Bebe Rexha,2018-09-22,43
 You Say,Lauren Daigle,2018-09-22,44
 Barbie Dreams,Nicki Minaj,2018-09-22,45
 Mine,Bazzi,2018-09-22,46
 Drew Barrymore,Bryce Vine,2018-09-22,47
 Hooked,Dylan Scott,2018-09-22,48
 Hotel Key,Old Dominion,2018-09-22,49
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-09-22,50
 Girls Like You,"Maroon 5, ft. Cardi B",2018-09-29,1
 In My Feelings,Drake,2018-09-29,2
 Killshot,Eminem,2018-09-29,3
 Lucid Dreams,Juice WRLD,2018-09-29,4
 Better Now,Post Malone,2018-09-29,5
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-09-29,6
 I Love It,"Kanye West, & Lil Pump",2018-09-29,7
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-09-29,8
 Sicko Mode,Travis Scott,2018-09-29,9
 Youngblood,5 Seconds Of Summer,2018-09-29,10
 Love Lies,"Khalid, & Normani",2018-09-29,11
 Taste,"Tyga, feat. Offset",2018-09-29,12
 Lucky You,"Eminem, ft. Joyner Lucas",2018-09-29,13
 Natural,Imagine Dragons,2018-09-29,14
 Nonstop,Drake,2018-09-29,15
 No Brainer,"DJ Khaled, ft. Justin Bieber, Chance The Rapper & Quavo",2018-09-29,16
 God Is A Woman,Ariana Grande,2018-09-29,17
 Back To You,Selena Gomez,2018-09-29,18
 Yes Indeed,"Lil Baby, & Drake",2018-09-29,19
 Boo'd Up,Ella Mai,2018-09-29,20
 Trip,Ella Mai,2018-09-29,21
 Rap Devil,Machine Gun Kelly,2018-09-29,22
 Perfect,Ed Sheeran,2018-09-29,23
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-09-29,24
 No Tears Left To Cry,Ariana Grande,2018-09-29,25
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-09-29,26
 Delicate,Taylor Swift,2018-09-29,27
 Drip Too Hard,"Lil Baby, & Gunna",2018-09-29,28
 Eastside,"Benny Blanco, Halsey & Khalid",2018-09-29,29
 Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2018-09-29,30
 Happier,"Marshmello, & Bastille",2018-09-29,31
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-09-29,32
 Sad!,XXXTentacion,2018-09-29,33
 I Like Me Better,Lauv,2018-09-29,34
The Middle,"Zedd, Maren Morris & Grey",2018-09-29,35
 I'm A Mess,Bebe Rexha,2018-09-29,36
 Nice For What,Drake,2018-09-29,37
 New Patek,Lil Uzi Vert,2018-09-29,38
 Tequila,Dan + Shay,2018-09-29,39
 God's Plan,Drake,2018-09-29,40
 Simple,Florida Georgia Line,2018-09-29,41
 Mo Bamba,Sheck Wes,2018-09-29,42
 Broken,lovelytheband,2018-09-29,43
 Beautiful,"Bazzi, ft. Camila Cabello",2018-09-29,44
 Better,Khalid,2018-09-29,45
 Fall,Eminem,2018-09-29,46
 Falling Down,"Lil Peep, & XXXTentacion",2018-09-29,47
 Hotel Key,Old Dominion,2018-09-29,48
 Drew Barrymore,Bryce Vine,2018-09-29,49
 She Got The Best Of Me,Luke Combs,2018-09-29,50
 Girls Like You,"Maroon 5, ft. Cardi B",2018-10-06,1
 Lucid Dreams,Juice WRLD,2018-10-06,2
 Better Now,Post Malone,2018-10-06,3
 In My Feelings,Drake,2018-10-06,4
 Killshot,Eminem,2018-10-06,5
 Sicko Mode,Travis Scott,2018-10-06,6
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-10-06,7
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-10-06,8
 I Love It,"Kanye West, & Lil Pump",2018-10-06,9
 Youngblood,5 Seconds Of Summer,2018-10-06,10
 Taste,"Tyga, feat. Offset",2018-10-06,11
 Love Lies,"Khalid, & Normani",2018-10-06,12
 Falling Down,"Lil Peep, & XXXTentacion",2018-10-06,13
 Natural,Imagine Dragons,2018-10-06,14
 Happier,"Marshmello, & Bastille",2018-10-06,15
 Nonstop,Drake,2018-10-06,16
 No Brainer,"DJ Khaled, ft. Justin Bieber, Chance The Rapper & Quavo",2018-10-06,17
 Trip,Ella Mai,2018-10-06,18
 Back To You,Selena Gomez,2018-10-06,19
 God Is A Woman,Ariana Grande,2018-10-06,20
 Perfect,Ed Sheeran,2018-10-06,21
 Yes Indeed,"Lil Baby, & Drake",2018-10-06,22
 Boo'd Up,Ella Mai,2018-10-06,23
 New Patek,Lil Uzi Vert,2018-10-06,24
 Drip Too Hard,"Lil Baby, & Gunna",2018-10-06,25
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-10-06,26
 Eastside,"Benny Blanco, Halsey & Khalid",2018-10-06,27
 Lucky You,"Eminem, ft. Joyner Lucas",2018-10-06,28
 Delicate,Taylor Swift,2018-10-06,29
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-10-06,30
 Mo Bamba,Sheck Wes,2018-10-06,31
 No Tears Left To Cry,Ariana Grande,2018-10-06,32
 Sad!,XXXTentacion,2018-10-06,33
 I Like Me Better,Lauv,2018-10-06,34
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-10-06,35
 I'm A Mess,Bebe Rexha,2018-10-06,36
The Middle,"Zedd, Maren Morris & Grey",2018-10-06,37
 Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2018-10-06,38
 Nice For What,Drake,2018-10-06,39
 Rap Devil,Machine Gun Kelly,2018-10-06,40
 Broken,lovelytheband,2018-10-06,41
 Simple,Florida Georgia Line,2018-10-06,42
 Beautiful,"Bazzi, ft. Camila Cabello",2018-10-06,43
 Tequila,Dan + Shay,2018-10-06,44
 God's Plan,Drake,2018-10-06,45
 High Hopes,Panic! At The Disco,2018-10-06,46
 No Stylist,"French Montana, ft. Drake",2018-10-06,47
 She Got The Best Of Me,Luke Combs,2018-10-06,48
 Ring,"Cardi B, ft. Kehlani",2018-10-06,49
 Hotel Key,Old Dominion,2018-10-06,50
 Girls Like You,"Maroon 5, ft. Cardi B",2018-10-13,1
 Mona Lisa,"Lil Wayne, ft. Kendrick Lamar",2018-10-13,2
 Lucid Dreams,Juice WRLD,2018-10-13,3
 Better Now,Post Malone,2018-10-13,4
 Don't Cry,"Lil Wayne, ft. XXXTentacion",2018-10-13,5
 Sicko Mode,Travis Scott,2018-10-13,6
 Uproar,Lil Wayne,2018-10-13,7
 Youngblood,5 Seconds Of Summer,2018-10-13,8
 In My Feelings,Drake,2018-10-13,9
 Let It Fly,"Lil Wayne, ft. Travis Scott",2018-10-13,10
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-10-13,11
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-10-13,12
 Happier,"Marshmello, & Bastille",2018-10-13,13
 Dedicate,Lil Wayne,2018-10-13,14
 Taste,"Tyga, feat. Offset",2018-10-13,15
 Love Lies,"Khalid, & Normani",2018-10-13,16
 Can't Be Broken,Lil Wayne,2018-10-13,17
 I Love It,"Kanye West, & Lil Pump",2018-10-13,18
 Natural,Imagine Dragons,2018-10-13,19
 Trip,Ella Mai,2018-10-13,20
 God Is A Woman,Ariana Grande,2018-10-13,21
 Back To You,Selena Gomez,2018-10-13,22
 Nonstop,Drake,2018-10-13,23
 What About Me,"Lil Wayne, ft. Sosamann",2018-10-13,24
 Drip Too Hard,"Lil Baby, & Gunna",2018-10-13,25
 Dark Side Of The Moon,"Lil Wayne, ft. Nicki Minaj",2018-10-13,26
 Taki Taki,"DJ Snake, ft. Selena Gomez, Ozuna & Cardi B",2018-10-13,27
 Shallow,"Lady Gaga, & Bradley Cooper",2018-10-13,28
 Eastside,"Benny Blanco, Halsey & Khalid",2018-10-13,29
 No Brainer,"DJ Khaled, ft. Justin Bieber, Chance The Rapper & Quavo",2018-10-13,30
 Yes Indeed,"Lil Baby, & Drake",2018-10-13,31
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-10-13,32
 Boo'd Up,Ella Mai,2018-10-13,33
 Killshot,Eminem,2018-10-13,34
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-10-13,35
 Famous,"Lil Wayne, ft. Reginae Carter",2018-10-13,36
 Delicate,Taylor Swift,2018-10-13,37
 Mo Bamba,Sheck Wes,2018-10-13,38
 Dope N****z,"Lil Wayne, ft. Snoop Dogg",2018-10-13,39
 Falling Down,"Lil Peep, & XXXTentacion",2018-10-13,40
 Sad!,XXXTentacion,2018-10-13,41
 I Like Me Better,Lauv,2018-10-13,42
 No Tears Left To Cry,Ariana Grande,2018-10-13,43
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-10-13,44
 I'm A Mess,Bebe Rexha,2018-10-13,45
The Middle,"Zedd, Maren Morris & Grey",2018-10-13,46
 Open Letter,Lil Wayne,2018-10-13,47
 Broken,lovelytheband,2018-10-13,48
 High Hopes,Panic! At The Disco,2018-10-13,49
 Tequila,Dan + Shay,2018-10-13,50
 Girls Like You,"Maroon 5, ft. Cardi B",2018-10-20,1
 Lucid Dreams,Juice WRLD,2018-10-20,2
 Better Now,Post Malone,2018-10-20,3
 Drip Too Hard,"Lil Baby, & Gunna",2018-10-20,4
 Shallow,"Lady Gaga, & Bradley Cooper",2018-10-20,5
 Sicko Mode,Travis Scott,2018-10-20,6
 Youngblood,5 Seconds Of Summer,2018-10-20,7
 Happier,"Marshmello, & Bastille",2018-10-20,8
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-10-20,9
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-10-20,10
 In My Feelings,Drake,2018-10-20,11
 Love Lies,"Khalid, & Normani",2018-10-20,12
 Natural,Imagine Dragons,2018-10-20,13
 Taste,"Tyga, feat. Offset",2018-10-20,14
 Never Recover,"Lil Baby and Gunna, ft. Drake",2018-10-20,15
 Trip,Ella Mai,2018-10-20,16
 I Love It,"Kanye West, & Lil Pump",2018-10-20,17
 Without Me,Halsey,2018-10-20,18
